what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1512567558449
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1512567558450
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1512567558451
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1512567558451
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1512567558451
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1512567558452
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1512567558452
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1512567558453
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1512567558453
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1512567558454
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1512567558455
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1512567558456
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1512567558457
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1512567558458
os,sysinfo,,,"linux",1512567558460
arch,sysinfo,,,"x86",1512567558460
ws,sysinfo,,,"gtk",1512567558460
locale,sysinfo,,,"en_US",1512567558460
processors,sysinfo,,,"2",1512567558460
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1512567558460
java.runtime.version,sysinfo,,,"1.8.0_144-b01",1512567558460
java.specification.name,sysinfo,,,"Java Platform API Specification",1512567558460
java.specification.vendor,sysinfo,,,"Oracle Corporation",1512567558460
java.specification.version,sysinfo,,,"1.8",1512567558460
java.vendor,sysinfo,,,"Oracle Corporation",1512567558460
java.version,sysinfo,,,"1.8.0_144",1512567558460
java.vm.info,sysinfo,,,"mixed mode",1512567558460
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1512567558460
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1512567558461
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1512567558461
java.vm.specification.version,sysinfo,,,"1.8",1512567558461
java.vm.vendor,sysinfo,,,"Oracle Corporation",1512567558461
java.vm.version,sysinfo,,,"25.144-b01",1512567558461
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1512567571055
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1512567571098
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1512567571119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512567582490
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1512567588088
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512567588129
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512567589595
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512567740841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512567752865
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1512567767951
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1512567780483
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1512567781730
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512567781966
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1512567782435
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1512567790333
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1512567790449
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1512567790458
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1512567798099
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1512567798313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512567804860
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512567823552
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512567828315
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1512567831170
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1512567831170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512567831351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512567845141
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1512567861346
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512567861553
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1512567877439
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1512567881232
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1512567947846
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1512567948074
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1512567948179
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1512567951009
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1512567959956
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1512567960305
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1512567965125
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1512567969099
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1512567971163
